model,accuracy,balanced_accuracy,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,precision_not_delayed,recall_not_delayed,f1_not_delayed,precision_delayed,recall_delayed,f1_delayed
Random Forest,0.9563299514777238,0.9582741954361204,0.954152931421522,0.9565106353285422,0.9790853778149227,0.9897144696198074,0.03792085991590515,0.9228224917309813,0.9665127020785219,0.9441624365482234,0.9786764705882353,0.9500356887937188,0.9641434262948207
HistGradientBoosting,0.948831054256727,0.9480179944051841,0.946046666601013,0.9489391858161722,0.9784367154440988,0.989502028757783,0.04182620978563695,0.9232505643340858,0.9445727482678984,0.9337899543378996,0.9652425778421434,0.9514632405424697,0.9583033788641265
Logistic Regression,0.9563299514777238,0.9622428222665105,0.9544716783057191,0.9566423685830608,0.9765269940804406,0.986720501275657,0.041607377879490946,0.9066808059384942,0.9872979214780601,0.945273631840796,0.9916918429003021,0.9371877230549608,0.9636697247706422
LightGBM,0.9263343625937362,0.915044598628825,0.9208251902833415,0.925753964841972,0.9796602723557736,0.9902273569267711,0.05432753879072331,0.9352428393524284,0.8672055427251733,0.8999400838825644,0.921448087431694,0.9628836545324768,0.9417102966841187
XGBoost,0.9276576973974415,0.9174381380505182,0.922420815763731,0.9271775758215155,0.9804956209108308,0.9907617973965693,0.05397098883986473,0.9322660098522167,0.874133949191686,0.902264600715137,0.925085910652921,0.9607423269093505,0.9425770308123249
